fecha,producto_id,categoria,tipo_demanda,ventas_diarias,promocion_activa,campana_marketing
2018-08-26,1,Alimentos,Constante,370,Ninguna,Ninguna
2018-08-27,1,Alimentos,Constante,274,Ninguna,Ninguna
2018-08-28,1,Alimentos,Constante,280,Ninguna,Ninguna
2018-08-29,1,Alimentos,Constante,259,Ninguna,Ninguna
2018-08-30,1,Alimentos,Constante,288,Ninguna,Ninguna
2018-08-31,1,Alimentos,Constante,270,Ninguna,Ninguna
2018-09-01,1,Alimentos,Constante,335,Ninguna,Ninguna
2018-09-02,1,Alimentos,Constante,311,Ninguna,Ninguna
2018-09-03,1,Alimentos,Constante,306,Ninguna,Ninguna
2018-09-04,1,Alimentos,Constante,246,Ninguna,Ninguna
2018-09-05,1,Alimentos,Constante,254,Ninguna,Ninguna
2018-09-06,1,Alimentos,Constante,238,Ninguna,Ninguna
2018-09-07,1,Alimentos,Constante,247,Ninguna,Ninguna
2018-09-08,1,Alimentos,Constante,410,Ninguna,Ninguna
2018-09-09,1,Alimentos,Constante,296,Ninguna,Ninguna
2018-09-10,1,Alimentos,Constante,286,Ninguna,Ninguna
2018-09-11,1,Alimentos,Constante,277,Ninguna,Ninguna
2018-09-12,1,Alimentos,Constante,265,Ninguna,Ninguna
2018-09-13,1,Alimentos,Constante,261,Ninguna,Ninguna
2018-09-14,1,Alimentos,Constante,264,Ninguna,Ninguna
2018-09-15,1,Alimentos,Constante,290,Ninguna,Ninguna
2018-09-16,1,Alimentos,Constante,421,Ninguna,Ninguna
2018-09-17,1,Alimentos,Constante,274,Ninguna,Ninguna
2018-09-18,1,Alimentos,Constante,258,Ninguna,Ninguna
2018-09-19,1,Alimentos,Constante,244,Ninguna,Ninguna
2018-09-20,1,Alimentos,Constante,263,Ninguna,Ninguna
2018-09-21,1,Alimentos,Constante,273,Ninguna,Ninguna
2018-09-22,1,Alimentos,Constante,371,Ninguna,Ninguna
2018-09-23,1,Alimentos,Constante,370,Ninguna,Ninguna
2018-09-24,1,Alimentos,Constante,228,Ninguna,Ninguna
2018-09-25,1,Alimentos,Constante,267,Ninguna,Ninguna
2018-09-26,1,Alimentos,Constante,236,Ninguna,Ninguna
2018-09-27,1,Alimentos,Constante,268,Ninguna,Ninguna
2018-09-28,1,Alimentos,Constante,254,Ninguna,Ninguna
2018-09-29,1,Alimentos,Constante,290,Ninguna,Ninguna
2018-09-30,1,Alimentos,Constante,341,Ninguna,Ninguna
2018-10-01,1,Alimentos,Constante,255,Ninguna,Ninguna
2018-10-02,1,Alimentos,Constante,286,Ninguna,Ninguna
2018-10-03,1,Alimentos,Constante,289,Ninguna,Ninguna
2018-10-04,1,Alimentos,Constante,284,Ninguna,Ninguna
2018-10-05,1,Alimentos,Constante,232,Ninguna,Ninguna
2018-10-06,1,Alimentos,Constante,354,Ninguna,Ninguna
2018-10-07,1,Alimentos,Constante,258,Ninguna,Ninguna
2018-10-08,1,Alimentos,Constante,273,Ninguna,Ninguna
2018-10-09,1,Alimentos,Constante,251,Ninguna,Ninguna
2018-10-10,1,Alimentos,Constante,263,Ninguna,Ninguna
2018-10-11,1,Alimentos,Constante,238,Ninguna,Ninguna
2018-10-12,1,Alimentos,Constante,273,Ninguna,Ninguna
2018-10-13,1,Alimentos,Constante,298,Ninguna,Ninguna
2018-10-14,1,Alimentos,Constante,325,Ninguna,Ninguna
2018-10-15,1,Alimentos,Constante,268,Ninguna,Ninguna
2018-10-16,1,Alimentos,Constante,301,Ninguna,Ninguna
2018-10-17,1,Alimentos,Constante,262,Ninguna,Ninguna
2018-10-18,1,Alimentos,Constante,274,Ninguna,Ninguna
2018-10-19,1,Alimentos,Constante,249,Ninguna,Ninguna
2018-10-20,1,Alimentos,Constante,288,Ninguna,Ninguna
2018-10-21,1,Alimentos,Constante,423,Ninguna,Ninguna
2018-10-22,1,Alimentos,Constante,290,Ninguna,Ninguna
2018-10-23,1,Alimentos,Constante,262,Ninguna,Ninguna
2018-10-24,1,Alimentos,Constante,268,Ninguna,Ninguna
2018-10-25,1,Alimentos,Constante,298,Ninguna,Ninguna
2018-10-26,1,Alimentos,Constante,287,Ninguna,Ninguna
2018-10-27,1,Alimentos,Constante,312,Ninguna,Ninguna
2018-10-28,1,Alimentos,Constante,291,Ninguna,Ninguna
2018-10-29,1,Alimentos,Constante,284,Ninguna,Ninguna
2018-10-30,1,Alimentos,Constante,248,Ninguna,Ninguna
2018-10-31,1,Alimentos,Constante,276,Ninguna,Ninguna
2018-11-01,1,Alimentos,Constante,266,Ninguna,Ninguna
2018-11-02,1,Alimentos,Constante,254,Ninguna,Ninguna
2018-11-03,1,Alimentos,Constante,288,Ninguna,Ninguna
2018-11-04,1,Alimentos,Constante,361,Ninguna,Ninguna
2018-11-05,1,Alimentos,Constante,261,Ninguna,Ninguna
2018-11-06,1,Alimentos,Constante,283,Ninguna,Ninguna
2018-11-07,1,Alimentos,Constante,313,Ninguna,Ninguna
2018-11-08,1,Alimentos,Constante,281,Ninguna,Ninguna
2018-11-09,1,Alimentos,Constante,265,Ninguna,Ninguna
2018-11-10,1,Alimentos,Constante,345,Ninguna,Ninguna
2018-11-11,1,Alimentos,Constante,355,Ninguna,Ninguna
2018-11-12,1,Alimentos,Constante,253,Ninguna,Ninguna
2018-11-13,1,Alimentos,Constante,293,Ninguna,Ninguna
2018-11-14,1,Alimentos,Constante,271,Ninguna,Ninguna
2018-11-15,1,Alimentos,Constante,271,Ninguna,Ninguna
2018-11-16,1,Alimentos,Constante,262,Ninguna,Ninguna
2018-11-17,1,Alimentos,Constante,352,Ninguna,Ninguna
2018-11-18,1,Alimentos,Constante,271,Ninguna,Ninguna
2018-11-19,1,Alimentos,Constante,282,Ninguna,Ninguna
2018-11-20,1,Alimentos,Constante,292,Ninguna,Ninguna
2018-11-21,1,Alimentos,Constante,228,Ninguna,Ninguna
2018-11-22,1,Alimentos,Constante,268,Ninguna,Ninguna
2018-11-23,1,Alimentos,Constante,275,Ninguna,Ninguna
2018-11-24,1,Alimentos,Constante,260,Ninguna,Ninguna
2018-11-25,1,Alimentos,Constante,336,Ninguna,Ninguna
2018-11-26,1,Alimentos,Constante,270,Ninguna,Ninguna
2018-11-27,1,Alimentos,Constante,275,Ninguna,Ninguna
2018-11-28,1,Alimentos,Constante,236,Ninguna,Ninguna
2018-11-29,1,Alimentos,Constante,271,Ninguna,Ninguna
2018-11-30,1,Alimentos,Constante,248,Ninguna,Ninguna
2018-12-01,1,Alimentos,Constante,342,Ninguna,Ninguna
2018-12-02,1,Alimentos,Constante,311,Ninguna,Ninguna
2018-12-03,1,Alimentos,Constante,286,Ninguna,Ninguna
2018-12-04,1,Alimentos,Constante,280,Ninguna,Ninguna
2018-12-05,1,Alimentos,Constante,235,Ninguna,Ninguna
2018-12-06,1,Alimentos,Constante,246,Ninguna,Ninguna
2018-12-07,1,Alimentos,Constante,271,Ninguna,Ninguna
2018-12-08,1,Alimentos,Constante,288,Ninguna,Ninguna
2018-12-09,1,Alimentos,Constante,328,Ninguna,Ninguna
2018-12-10,1,Alimentos,Constante,277,Ninguna,Ninguna
2018-12-11,1,Alimentos,Constante,249,Ninguna,Ninguna
2018-12-12,1,Alimentos,Constante,242,Ninguna,Ninguna
2018-12-13,1,Alimentos,Constante,286,Ninguna,Ninguna
2018-12-14,1,Alimentos,Constante,256,Ninguna,Ninguna
2018-12-15,1,Alimentos,Constante,329,Ninguna,Ninguna
2018-12-16,1,Alimentos,Constante,302,Ninguna,Ninguna
2018-12-17,1,Alimentos,Constante,270,Ninguna,Ninguna
2018-12-18,1,Alimentos,Constante,250,Ninguna,Ninguna
2018-12-19,1,Alimentos,Constante,235,Ninguna,Ninguna
2018-12-20,1,Alimentos,Constante,268,Ninguna,Ninguna
2018-12-21,1,Alimentos,Constante,275,Ninguna,Ninguna
2018-12-22,1,Alimentos,Constante,297,Ninguna,Ninguna
2018-12-23,1,Alimentos,Constante,304,Ninguna,Ninguna
2018-12-24,1,Alimentos,Constante,250,Ninguna,Ninguna
2018-12-25,1,Alimentos,Constante,311,Ninguna,Ninguna
2018-12-26,1,Alimentos,Constante,281,Ninguna,Ninguna
2018-12-27,1,Alimentos,Constante,242,Ninguna,Ninguna
2018-12-28,1,Alimentos,Constante,237,Ninguna,Ninguna
2018-12-29,1,Alimentos,Constante,399,Ninguna,Ninguna
2018-12-30,1,Alimentos,Constante,265,Ninguna,Ninguna
2018-12-31,1,Alimentos,Constante,286,Ninguna,Ninguna
2019-01-01,1,Alimentos,Constante,272,Ninguna,Ninguna
2019-01-02,1,Alimentos,Constante,272,Ninguna,Ninguna
2019-01-03,1,Alimentos,Constante,260,Ninguna,Ninguna
2019-01-04,1,Alimentos,Constante,291,Ninguna,Ninguna
2019-01-05,1,Alimentos,Constante,374,Ninguna,Ninguna
2019-01-06,1,Alimentos,Constante,281,Ninguna,Ninguna
2019-01-07,1,Alimentos,Constante,251,Ninguna,Ninguna
2019-01-08,1,Alimentos,Constante,259,Ninguna,Ninguna
2019-01-09,1,Alimentos,Constante,272,Ninguna,Ninguna
2019-01-10,1,Alimentos,Constante,286,Ninguna,Ninguna
2019-01-11,1,Alimentos,Constante,259,Ninguna,Ninguna
2019-01-12,1,Alimentos,Constante,336,Ninguna,Ninguna
2019-01-13,1,Alimentos,Constante,319,Ninguna,Ninguna
2019-01-14,1,Alimentos,Constante,272,Ninguna,Ninguna
2019-01-15,1,Alimentos,Constante,262,Ninguna,Ninguna
2019-01-16,1,Alimentos,Constante,296,Ninguna,Ninguna
2019-01-17,1,Alimentos,Constante,270,Ninguna,Ninguna
2019-01-18,1,Alimentos,Constante,292,Ninguna,Ninguna
2019-01-19,1,Alimentos,Constante,340,Ninguna,Ninguna
2019-01-20,1,Alimentos,Constante,321,Ninguna,Ninguna
2019-01-21,1,Alimentos,Constante,255,Ninguna,Ninguna
2019-01-22,1,Alimentos,Constante,265,Ninguna,Ninguna
2019-01-23,1,Alimentos,Constante,268,Ninguna,Ninguna
2019-01-24,1,Alimentos,Constante,262,Ninguna,Ninguna
2019-01-25,1,Alimentos,Constante,284,Ninguna,Ninguna
2019-01-26,1,Alimentos,Constante,300,Ninguna,Ninguna
2019-01-27,1,Alimentos,Constante,306,Ninguna,Ninguna
2019-01-28,1,Alimentos,Constante,297,Ninguna,Ninguna
2019-01-29,1,Alimentos,Constante,277,Ninguna,Ninguna
2019-01-30,1,Alimentos,Constante,257,Ninguna,Ninguna
2019-01-31,1,Alimentos,Constante,280,Ninguna,Ninguna
2019-02-01,1,Alimentos,Constante,266,Ninguna,Ninguna
2019-02-02,1,Alimentos,Constante,350,Ninguna,Ninguna
2019-02-03,1,Alimentos,Constante,373,Ninguna,Ninguna
2019-02-04,1,Alimentos,Constante,289,Ninguna,Ninguna
2019-02-05,1,Alimentos,Constante,258,Ninguna,Ninguna
2019-02-06,1,Alimentos,Constante,236,Ninguna,Ninguna
2019-02-07,1,Alimentos,Constante,259,Ninguna,Ninguna
2019-02-08,1,Alimentos,Constante,240,Ninguna,Ninguna
2019-02-09,1,Alimentos,Constante,303,Ninguna,Ninguna
2019-02-10,1,Alimentos,Constante,302,Ninguna,Ninguna
2019-02-11,1,Alimentos,Constante,294,Ninguna,Ninguna
2019-02-12,1,Alimentos,Constante,282,Ninguna,Ninguna
2019-02-13,1,Alimentos,Constante,274,Ninguna,Ninguna
2019-02-14,1,Alimentos,Constante,239,Ninguna,Ninguna
2019-02-15,1,Alimentos,Constante,283,Ninguna,Ninguna
2019-02-16,1,Alimentos,Constante,310,Ninguna,Ninguna
2019-02-17,1,Alimentos,Constante,363,Ninguna,Ninguna
2019-02-18,1,Alimentos,Constante,281,Ninguna,Ninguna
2019-02-19,1,Alimentos,Constante,251,Ninguna,Ninguna
2019-02-20,1,Alimentos,Constante,293,Ninguna,Ninguna
2019-02-21,1,Alimentos,Constante,256,Ninguna,Ninguna
2019-02-22,1,Alimentos,Constante,248,Ninguna,Ninguna
2019-02-23,1,Alimentos,Constante,367,Ninguna,Ninguna
2019-02-24,1,Alimentos,Constante,335,Ninguna,Ninguna
2019-02-25,1,Alimentos,Constante,291,Ninguna,Ninguna
2019-02-26,1,Alimentos,Constante,277,Ninguna,Ninguna
2019-02-27,1,Alimentos,Constante,276,Ninguna,Ninguna
2019-02-28,1,Alimentos,Constante,281,Ninguna,Ninguna
2019-03-01,1,Alimentos,Constante,306,Ninguna,Ninguna
2019-03-02,1,Alimentos,Constante,343,Ninguna,Ninguna
2019-03-03,1,Alimentos,Constante,282,Ninguna,Ninguna
2019-03-04,1,Alimentos,Constante,266,Ninguna,Ninguna
2019-03-05,1,Alimentos,Constante,275,Ninguna,Ninguna
2019-03-06,1,Alimentos,Constante,285,Ninguna,Ninguna
2019-03-07,1,Alimentos,Constante,283,Ninguna,Ninguna
2019-03-08,1,Alimentos,Constante,237,Ninguna,Ninguna
2019-03-09,1,Alimentos,Constante,330,Ninguna,Ninguna
2019-03-10,1,Alimentos,Constante,362,Ninguna,Ninguna
2019-03-11,1,Alimentos,Constante,263,Ninguna,Ninguna
2019-03-12,1,Alimentos,Constante,271,Ninguna,Ninguna
2019-03-13,1,Alimentos,Constante,239,Ninguna,Ninguna
2019-03-14,1,Alimentos,Constante,291,Ninguna,Ninguna
2019-03-15,1,Alimentos,Constante,280,Ninguna,Ninguna
2019-03-16,1,Alimentos,Constante,274,Ninguna,Ninguna
2019-03-17,1,Alimentos,Constante,295,Ninguna,Ninguna
2019-03-18,1,Alimentos,Constante,267,Ninguna,Ninguna
2019-03-19,1,Alimentos,Constante,236,Ninguna,Ninguna
2019-03-20,1,Alimentos,Constante,257,Ninguna,Ninguna
2019-03-21,1,Alimentos,Constante,300,Ninguna,Ninguna
2019-03-22,1,Alimentos,Constante,264,Ninguna,Ninguna
2019-03-23,1,Alimentos,Constante,336,Ninguna,Ninguna
2019-03-24,1,Alimentos,Constante,396,Ninguna,Ninguna
2019-03-25,1,Alimentos,Constante,280,Ninguna,Ninguna
2019-03-26,1,Alimentos,Constante,243,Ninguna,Ninguna
2019-03-27,1,Alimentos,Constante,238,Ninguna,Ninguna
2019-03-28,1,Alimentos,Constante,255,Ninguna,Ninguna
2019-03-29,1,Alimentos,Constante,243,Ninguna,Ninguna
2019-03-30,1,Alimentos,Constante,272,Ninguna,Ninguna
2019-03-31,1,Alimentos,Constante,356,Ninguna,Ninguna
2019-04-01,1,Alimentos,Constante,264,Ninguna,Ninguna
2019-04-02,1,Alimentos,Constante,268,Ninguna,Ninguna
2019-04-03,1,Alimentos,Constante,239,Ninguna,Ninguna
2019-04-04,1,Alimentos,Constante,301,Ninguna,Ninguna
2019-04-05,1,Alimentos,Constante,273,Ninguna,Ninguna
2019-04-06,1,Alimentos,Constante,296,Ninguna,Ninguna
2019-04-07,1,Alimentos,Constante,361,Ninguna,Ninguna
2019-04-08,1,Alimentos,Constante,248,Ninguna,Ninguna
2019-04-09,1,Alimentos,Constante,302,Ninguna,Ninguna
2019-04-10,1,Alimentos,Constante,246,Ninguna,Ninguna
2019-04-11,1,Alimentos,Constante,248,Ninguna,Ninguna
2019-04-12,1,Alimentos,Constante,237,Ninguna,Ninguna
2019-04-13,1,Alimentos,Constante,296,Ninguna,Ninguna
2019-04-14,1,Alimentos,Constante,357,Ninguna,Ninguna
2019-04-15,1,Alimentos,Constante,267,Ninguna,Ninguna
2019-04-16,1,Alimentos,Constante,288,Ninguna,Ninguna
2019-04-17,1,Alimentos,Constante,277,Ninguna,Ninguna
2019-04-18,1,Alimentos,Constante,271,Ninguna,Ninguna
2019-04-19,1,Alimentos,Constante,293,Ninguna,Ninguna
2019-04-20,1,Alimentos,Constante,345,Ninguna,Ninguna
2019-04-21,1,Alimentos,Constante,339,Ninguna,Ninguna
2019-04-22,1,Alimentos,Constante,300,Ninguna,Ninguna
2019-04-23,1,Alimentos,Constante,288,Ninguna,Ninguna
2019-04-24,1,Alimentos,Constante,268,Ninguna,Ninguna
2019-04-25,1,Alimentos,Constante,298,Ninguna,Ninguna
2019-04-26,1,Alimentos,Constante,238,Ninguna,Ninguna
2019-04-27,1,Alimentos,Constante,340,Ninguna,Ninguna
2019-04-28,1,Alimentos,Constante,380,Ninguna,Ninguna
2019-04-29,1,Alimentos,Constante,268,Ninguna,Ninguna
2019-04-30,1,Alimentos,Constante,307,Ninguna,Ninguna
2019-05-01,1,Alimentos,Constante,282,Ninguna,Ninguna
2019-05-02,1,Alimentos,Constante,233,Ninguna,Ninguna
2019-05-03,1,Alimentos,Constante,269,Ninguna,Ninguna
2019-05-04,1,Alimentos,Constante,328,Ninguna,Ninguna
2019-05-05,1,Alimentos,Constante,345,Ninguna,Ninguna
2019-05-06,1,Alimentos,Constante,251,Ninguna,Ninguna
2019-05-07,1,Alimentos,Constante,308,Ninguna,Ninguna
2019-05-08,1,Alimentos,Constante,274,Ninguna,Ninguna
2019-05-09,1,Alimentos,Constante,275,Ninguna,Ninguna
2019-05-10,1,Alimentos,Constante,259,Ninguna,Ninguna
2019-05-11,1,Alimentos,Constante,313,Ninguna,Ninguna
2019-05-12,1,Alimentos,Constante,345,Ninguna,Ninguna
2019-05-13,1,Alimentos,Constante,233,Ninguna,Ninguna
2019-05-14,1,Alimentos,Constante,297,Ninguna,Ninguna
2019-05-15,1,Alimentos,Constante,248,Ninguna,Ninguna
2019-05-16,1,Alimentos,Constante,270,Ninguna,Ninguna
2019-05-17,1,Alimentos,Constante,262,Ninguna,Ninguna
2019-05-18,1,Alimentos,Constante,306,Ninguna,Ninguna
2019-05-19,1,Alimentos,Constante,308,Ninguna,Ninguna
2019-05-20,1,Alimentos,Constante,262,Ninguna,Ninguna
2019-05-21,1,Alimentos,Constante,268,Ninguna,Ninguna
2019-05-22,1,Alimentos,Constante,265,Ninguna,Ninguna
2019-05-23,1,Alimentos,Constante,252,Ninguna,Ninguna
2019-05-24,1,Alimentos,Constante,284,Ninguna,Ninguna
2019-05-25,1,Alimentos,Constante,321,Ninguna,Ninguna
2019-05-26,1,Alimentos,Constante,364,Ninguna,Ninguna
2019-05-27,1,Alimentos,Constante,259,Ninguna,Ninguna
2019-05-28,1,Alimentos,Constante,258,Ninguna,Ninguna
2019-05-29,1,Alimentos,Constante,239,Ninguna,Ninguna
2019-05-30,1,Alimentos,Constante,273,Ninguna,Ninguna
2019-05-31,1,Alimentos,Constante,287,Ninguna,Ninguna
2019-06-01,1,Alimentos,Constante,329,Ninguna,Ninguna
2019-06-02,1,Alimentos,Constante,331,Ninguna,Ninguna
2019-06-03,1,Alimentos,Constante,278,Ninguna,Ninguna
2019-06-04,1,Alimentos,Constante,273,Ninguna,Ninguna
2019-06-05,1,Alimentos,Constante,275,Ninguna,Ninguna
2019-06-06,1,Alimentos,Constante,273,Ninguna,Ninguna
2019-06-07,1,Alimentos,Constante,261,Ninguna,Ninguna
2019-06-08,1,Alimentos,Constante,328,Ninguna,Ninguna
2019-06-09,1,Alimentos,Constante,339,Ninguna,Ninguna
2019-06-10,1,Alimentos,Constante,266,Ninguna,Ninguna
2019-06-11,1,Alimentos,Constante,236,Ninguna,Ninguna
2019-06-12,1,Alimentos,Constante,276,Ninguna,Ninguna
2019-06-13,1,Alimentos,Constante,272,Ninguna,Ninguna
2019-06-14,1,Alimentos,Constante,274,Ninguna,Ninguna
2019-06-15,1,Alimentos,Constante,380,Ninguna,Ninguna
2019-06-16,1,Alimentos,Constante,328,Ninguna,Ninguna
2019-06-17,1,Alimentos,Constante,233,Ninguna,Ninguna
2019-06-18,1,Alimentos,Constante,247,Ninguna,Ninguna
2019-06-19,1,Alimentos,Constante,248,Ninguna,Ninguna
2019-06-20,1,Alimentos,Constante,277,Ninguna,Ninguna
2019-06-21,1,Alimentos,Constante,233,Ninguna,Ninguna
2019-06-22,1,Alimentos,Constante,298,Ninguna,Ninguna
2019-06-23,1,Alimentos,Constante,337,Ninguna,Ninguna
2019-06-24,1,Alimentos,Constante,252,Ninguna,Ninguna
2019-06-25,1,Alimentos,Constante,257,Ninguna,Ninguna
2019-06-26,1,Alimentos,Constante,284,Ninguna,Ninguna
2019-06-27,1,Alimentos,Constante,251,Ninguna,Ninguna
2019-06-28,1,Alimentos,Constante,236,Ninguna,Ninguna
2019-06-29,1,Alimentos,Constante,316,Ninguna,Ninguna
2019-06-30,1,Alimentos,Constante,275,Ninguna,Ninguna
2019-07-01,1,Alimentos,Constante,274,Ninguna,Ninguna
2019-07-02,1,Alimentos,Constante,310,Ninguna,Ninguna
2019-07-03,1,Alimentos,Constante,281,Ninguna,Ninguna
2019-07-04,1,Alimentos,Constante,258,Ninguna,Ninguna
2019-07-05,1,Alimentos,Constante,245,Ninguna,Ninguna
2019-07-06,1,Alimentos,Constante,336,Ninguna,Ninguna
2019-07-07,1,Alimentos,Constante,327,Ninguna,Ninguna
2019-07-08,1,Alimentos,Constante,262,Ninguna,Ninguna
2019-07-09,1,Alimentos,Constante,277,Ninguna,Ninguna
2019-07-10,1,Alimentos,Constante,271,Ninguna,Ninguna
2019-07-11,1,Alimentos,Constante,273,Ninguna,Ninguna
2019-07-12,1,Alimentos,Constante,291,Ninguna,Ninguna
2019-07-13,1,Alimentos,Constante,357,Ninguna,Ninguna
2019-07-14,1,Alimentos,Constante,306,Ninguna,Ninguna
2019-07-15,1,Alimentos,Constante,244,Ninguna,Ninguna
2019-07-16,1,Alimentos,Constante,249,Ninguna,Ninguna
2019-07-17,1,Alimentos,Constante,281,Ninguna,Ninguna
2019-07-18,1,Alimentos,Constante,283,Ninguna,Ninguna
2019-07-19,1,Alimentos,Constante,270,Ninguna,Ninguna
2019-07-20,1,Alimentos,Constante,351,Ninguna,Ninguna
2019-07-21,1,Alimentos,Constante,326,Ninguna,Ninguna
2019-07-22,1,Alimentos,Constante,275,Ninguna,Ninguna
2019-07-23,1,Alimentos,Constante,255,Ninguna,Ninguna
2019-07-24,1,Alimentos,Constante,274,Ninguna,Ninguna
2019-07-25,1,Alimentos,Constante,240,Ninguna,Ninguna
2019-07-26,1,Alimentos,Constante,244,Ninguna,Ninguna
2019-07-27,1,Alimentos,Constante,349,Ninguna,Ninguna
2019-07-28,1,Alimentos,Constante,380,Ninguna,Ninguna
2019-07-29,1,Alimentos,Constante,289,Ninguna,Ninguna
2019-07-30,1,Alimentos,Constante,258,Ninguna,Ninguna
2019-07-31,1,Alimentos,Constante,280,Ninguna,Ninguna
2019-08-01,1,Alimentos,Constante,263,Ninguna,Ninguna
2019-08-02,1,Alimentos,Constante,259,Ninguna,Ninguna
2019-08-03,1,Alimentos,Constante,352,Ninguna,Ninguna
2019-08-04,1,Alimentos,Constante,364,Ninguna,Ninguna
2019-08-05,1,Alimentos,Constante,253,Ninguna,Ninguna
2019-08-06,1,Alimentos,Constante,245,Ninguna,Ninguna
2019-08-07,1,Alimentos,Constante,255,Ninguna,Ninguna
2019-08-08,1,Alimentos,Constante,256,Ninguna,Ninguna
2019-08-09,1,Alimentos,Constante,295,Ninguna,Ninguna
2019-08-10,1,Alimentos,Constante,312,Ninguna,Ninguna
2019-08-11,1,Alimentos,Constante,337,Ninguna,Ninguna
2019-08-12,1,Alimentos,Constante,292,Ninguna,Ninguna
2019-08-13,1,Alimentos,Constante,273,Ninguna,Ninguna
2019-08-14,1,Alimentos,Constante,204,Ninguna,Ninguna
2019-08-15,1,Alimentos,Constante,270,Ninguna,Ninguna
2019-08-16,1,Alimentos,Constante,265,Ninguna,Ninguna
2019-08-17,1,Alimentos,Constante,295,Ninguna,Ninguna
2019-08-18,1,Alimentos,Constante,344,Ninguna,Ninguna
2019-08-19,1,Alimentos,Constante,280,Ninguna,Ninguna
2019-08-20,1,Alimentos,Constante,291,Ninguna,Ninguna
2019-08-21,1,Alimentos,Constante,302,Ninguna,Ninguna
2019-08-22,1,Alimentos,Constante,269,Ninguna,Ninguna
2019-08-23,1,Alimentos,Constante,236,Ninguna,Ninguna
2019-08-24,1,Alimentos,Constante,317,Ninguna,Ninguna
2019-08-25,1,Alimentos,Constante,301,Ninguna,Ninguna
